review_text,label
"tekstur:yg mate tint-nya kurang bagus aku kasih bintang 2 karena yg mate tint-nya patah, packaging sudah aman di dalam kardus dan bubble wrap tp ternyata produk didalamnya patah, mungkin udah patah dr pabriknya tp tetep dimasukin dus mate tint nya huhu sudah komplain ke shopee tp no solution karena harus di balikin semua produknya, sedangkan yg lip tintnya gak ada masalah dan gak perlu diretur. klo dicek lip tintnya ada segel (yg tulisan cina) sedangkan yg mate tint tidak ada segel dan ternyata patah ... hiks",negative
"barangnya sampe dengan aman, packing rapi pake bubble wrap tapi untuk pengirimannya agak lama, aroma parfum juga wangi recomend lah",positive
kemasan:yg no 05 tahun depan udah mau exp padahal.aku udah pesan di note pesanan itu kalau exp nya yg masih lama profil kecantikan:warna shade dari jaman sekolah tips pengguna:bibir for sale mangkannya dikasih barang yang mau exp,negative
baguuus bgt produknya dan kali ini dspet gift segembreng :grinning_squinting_face: thanks a lot somethinc,positive
pengemasan yang gak aman jadi pecah dalam perjalanan,negative
"deskripsinya dapet 4 serum.. yg datang eye cream, cream, cuci muka, skin.. harusnya kalau kosong info dong jgn php gitu",negative
"suka sm bedaknya, pembelian ke dua. tp kotaknya gede banget.",positive
cocok untuk:melembabkan kulit wajah dan menghilangkan noda hitam di wajah manfaat:melembabkan kulit wajah dan menghilangkan flek hitam di wajah tekstur:kental kualitas produk sangat baik produk original harga produk sangat terjangkau dan kecepatan pengiriman cepat sampai ke tujuan packing rapi dan bersih terimakasih,positive
"tekstur:sesuai sama sebelumnya performa:gampang lepas, padahal udh sesuai step2nya",negative
"baru pertama kali coba peeling gel whitelab dn sepertinya akan cocok:smiling_face_with_open_hands: ( krn biasanya kl ga cocok pagi setelahnya akan ada jerawat baru dan ini ga ada dong, ga berasa per...",positive
"good service.. penampilan produk baik tp blm coba dipakai, jd kasih *4 dulu..",positive
"kemasan ya pecahh.. jadi tumpah""",negative
"pengemasan kurang rapat, bocor",positive
"saya ga mau beli lagi, wajah saya menghitam, timbul benjolan aneh di badan saya. mengerikan",negative
"barang yang diterima sesuai dengan pesanan. ditinjau dari wangi parfumnya, termasuk dalam kategori bagus dilihat dari harganya. kalau dari ketahanannya, masih dalam tahap...",positive
"kemasan:bagus dan menyakinkan kemasan nya bagus, eh pas dibuka kosong sama sekali cuma ngirim kardus doang, proses pengiriman ulangnya lama banget udah mau sebulan, udah ga sabar lagi nunggu katanya cuma 7 hari doang :smiling_face_with_tear::smiling_face_with_tear::smiling_face_with_tear:",negative
"profil kecantikan:kombinasi kecil banget astogongg, kirain ga sekecil inii",negative
uda di chat ke owner tp responya gada nanti kalau udah dpt gantinya baru ak ganti reviewku padahal ud jelas itu serum kaca tapi ga d kasih bubble warp malah d gabung,negative
katanya buy 1 get 1 tp bgtu dikirim bonusnya g ad :expressionless_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: pdhl aku beli pas ad promonya,negative
"tekstur:kental cocok untuk:semua kulit performa:bagus ni dah botol k. 6, beli nya pas promo2 aja, alhamdulillah cocok pake bangeet, lembut dan langsung menyerap, no lengket2 hasil memuaskan, tx seller",positive
produk udah diterima sesuai deskripsi :thumbs_up:,positive
tekstur:berminyak heemm kurang nempel,negative
"pengiriman barang sangat lambat, pembungkusan tidak rapi",negative
"mengecewakan 100%, barang tidak diterima sama sekali, kurir bermasalah, seller bilang nya barang hilang, tapi tiba2 anteraja ng-wa barang nya di retur, solusi dari tokped...",negative
baru dibuka sudah bocor? packingnya bagus tapi itemnya lgsg bocor,negative
"efektivitas:baru mau nyoba,semoga cocok dan bagus kaya di reveiw nya padahal minta cancel karena salah alamat dan mau ganti alamat,,tapi gak di konfirm..kecewa sih. buat yang mau pesen dipastikan lagi alamat nya yang bener ya,",negative
"baru beli udah kering, gada video unboxing di awal karna pikiran udah baik ga mungkin lah di kecewa in karna beli langsung di online store nya. eh malah dibikin kecewa, buat yg mau beli harus lebih teliti lagi ya!!! ini itung” rugi aja ga hoki wk",negative
efek:glossy banget kemasan:kemasan mini hemat tempat lip gloss esqa ini emang beneran glossy banget di bibir. not my type of lip product sih sebenernya. tapi penasaran pingin coba. warna shade di foto produknya yang paling coklat di antara yang lain. tapi di bibirku malah banyakan pink-nya daripada brownish-nya.,positive
"if you like natural finish, this is not for you. reviewnya overrated, padahal aslinya menor bgt warnanya. jijik ngeliatnya.",negative
"luntur wehh, jadi kaya mata pandaaa, nyesel beli",negative
"barang diterima dengan kondisi baik, expired masih lamaa... pengiriman aman dan cepat, proses toko juga cepat. mantaplahhh :thumbs_up::thumbs_up::thumbs_up:",positive
"inimah liptint terbagus sealam rayaa, gabikin kering padahal bibir ak lgi crack parah, warnanya pinkish ungu gtuu, lucuu bgt udah gitu baunya peach bgtt, pasti nanti beli...",positive
"jujur ini waxing ga kecabut semuanya, sampe aku jengkel sendiri makenya, ga sekali dua kali aku nyobanya tp hasilnya tetep sama ga keangkat. aku udah 2 tahunan ngewax sendiri di rumah pake brand lain, tp pas coba ganti ke manuka bener2 ga kecabut sih kataku. imo dia terlalu encer trs kertasnya jg tipis. bye bgt deh",negative
dari jauh wkwkw,positive
jangan percaya diberi gimmick karena kenyataan nya tidak diberikan.,negative
"packingan rapi cuma sayang pas d buka, malah gak bs nutup karena patahdan patahanny t nutupi lobang keluarny facial foam ny.",negative
pengalaman penggunaan:jujur ini mah kalah banget sama harga yg 6 ribuan kayak engga bagus buat di pake kalo diliat emng kelihatan mahal cmn pas di pake engg banget kayak engg mantul lagi kayak apa ya pokoknya di pake ga enak mana mahal sorry ini mah emng kurang memuaskan,negative
barangnya pecah waktu sampai dan gak sempat untuk di coba,negative
"barang sdh diterima dg baik, trims.",positive
maaf baru bisa ngasih ulasan... bagus bnget dan mau bli lagi trmksh:folded_hands:,positive
pesan moisturizer yang datang serum sunscreen,negative
bagus buat angkat komedo. komedo langsung terhempas,positive
kalo bedaknya iyu emg udh tops dech krna bisa memutihkan wajah aku (tapi ko ada bling²nya ya??),negative
"warnanya cocok, tapi ga se wow claimnya selama ini.. kalau mau full coverage harus dilayer 3x.. untuk kulit kering cocok",positive
"tekstur:cair efektivitas:gak ngaruh tidak ngaruh sedikitpun di saya, cuman buang duit. dan setelah ini admin blg ; konsul ke dokter aja.",negative
aslinya aroma setiap varian itu enak² seger² dan paling suka yg chocoholic... dan pesan yg chocoholic dikirimnya yg extrem tnpa konfirmasi.. kan klo konfirmasi bisa tuker...,negative
"tekstur:tidak bagus daya serap:kurang mgkn krn fungsinya sbg primer juga efektivitas:kurang bagus sy blm cb tp pengiriman cepat & packagingnya aman update: stlh dicoba bs dilihat muka sy whitecast & hmpr tdk bs diblend berbeda dgn uv-primer yg prnh sy cb. ditimpa bedak maybelline, looknya patchy &dbwh sinar matahari luntur ky pk dempul. stlh 4jam pemakaian, muka belang bentong & mncul whitehead",negative
"kok warna nya beda sih, di foto agak oren, kenapa nyampe pink. plis!!",negative
gak ada brgnya,negative
"lipcreamnya enak, yang warna ini cocok buat kulit sawo matang, gak mudah luntur juga :red_heart:",positive
"tekstur:lembut performa:- cocok untuk:- aku zonk, aku enggak tau ini salah dimana. tp ini betul enggak di nalar.. isi cream di dalam produk cuman nempel di bagian pinggir kemasan aja..",negative
"produk bagus, pengiriman sesuai estimasi yang telah ditentukan.",positive
selalu puas dengan revlon,positive
"pengemasan buruk, ada yang jebol (disengaja) gatau entah dari pihak kurir atau siapa.",negative
"harga:sesuai kemasan:bocor manfaat:bagsu ga amanah ,masa yang dikasih bocor",negative
"salah kirim serum, order serum propolis tp dikirimkan serum bright up. sudah konfirmasi ke cs tp ga ada tanggapan",negative
"tonernya seger di wajah, bikin fresh",positive
kualitas ok,positive
lucuuu bangettttt mini sizenyaaa:grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face:,positive
"thx paketnya sudah diterima. packing rapi dan aman, warna lipstick bagus tapi gampang banget luntur.",positive
"aduh sayang nih, udah expire maret 2023 :woman_facepalming_medium-light_skin_tone:",negative
tekstur:. performa:. cocok untuk:. kecewa,negative
manfaat:tidak dapat bonus spons seperti yang dijanjikan,negative
udah beberapa x pake ga ada perubahan,negative
"ok banget, nyaman di pake dapat free masker sama suncream tp agak lamak pengirimannya",positive
"aku masih kecewa. pesanan terbaruku dibatalkan setelah 3 hari masuk waiting list proses, emang admin kerjanya apa sampe gak bisa konfirmasi produk habis dari kemarin2?",negative
makasih banyak :revolving_hearts::revolving_hearts::revolving_hearts::revolving_hearts:,positive
untuk liptik ini patah,negative
ga waterproof. ga smudge proof. warna nya aneh bukan dark brown tp kyk coklat kemerahan,negative
packingnya kurang amat buat product bocor dalam pengiriman,negative
"pengiriman standart. produknya belom dicobain, beli karena yg merah abis. moga cocok sih",positive
"produk original,semoga cocok,ini order pertama kali,emang pengiriman lumayan agak lama..tapi paking bgus aman seklaiii",positive
saya suka sekali dgn produknya. pengiriman juga cepat. maaf harus memberi bintang 1 karena saya kecewa dengan kelalaian penjual dalam mengemas produk. saya sangat kecewa...,negative
payah. barang nya jelek. kering nga keluar tinta sama sekali. jelek bgt. diskon tapi barang jelek. kecewa.,negative
"gatau kenapa ini bau nya ga biasa, kayak bau tengik tapi expired nya masih aman sih. gatau jugaaaa kesel sih karna ini andalan aku biasabnya. tolong ya seller coba cek deh yang spirulina",negative
ga niat packingannya，setidaknya dilakban tutupnya，ini bocor kemana2，，rugi banget kalau tumpah banyak begitu，,negative
katanya waterproof tapi ternyata tidak :pleading_face:,negative
produk yg dikirim sudah dibuka segelnya. sy retur minta ganti yg baru. dikirim ulang dgn masalah yg sama (sudah dibuka segelnya). sy retur lg. akhirnya uang dikembalikan...,negative
"kemasan:aman dan rapi hanya saja waktu dipesan, saya memesan dengan jumlah 3 produk tapi dikirim cuma 1, admin sudah dichat tapi tidak dibalas, sangat mengecewakan",negative
kecewa bgt..uda beli serum sama night cream nya..serum lgs bikin muka jadi beruntusan pdhl baru pakai 10 menit pertama lgs gatal2..ga berani lah pake night cream nya..sel...,negative
"bagus, coverage nya medium. tapi bisa di build lagi. cuman emang cocoknya buat kulit normal to dry. jadi pas di keluarin langsung keliatan kalo fondie nya minyak an. ini...",positive
"beli 2 tapi yg satu tutup botolnya rusak (tdk bisa ditutup), jadinya bocor & basah semua. sisanya, box kemasan produk tidak bersegel. kalau produk sempat di-cek, harusnya di-lakban dulu biar nggak bocor. packing luarnya baik tapi kurang safety di produknya aja. mohon ditingkatkan lagi pelayanannya.",negative
"diaplikasikan ke bulu mata, terlihat bulu mata terlihat lentik,bagus,",positive
barang bagus pengiriman cepat harga terjangkau.terimakasih,positive
"barang semuanya oke sesuai pesanan, wanginya enak lembut",positive
kirain warnanya maroon ternyata ungu,positive
nyoba prtma x wktu hrga promo n trnyata cocok...kulit.. jd makin cerah.. krn butuh.. mski hrga normal ya ttp d beli wkwk.. exp msh pjg 2026 seller komunikatif.. tq sukses...,positive
blm dicoba semoga bagus,positive
pengemasan lama. produk sesuai pesanan. produk original.,positive
sudah sering beli di toko ini :thumbs_up:,positive
"cuma dapet lipen 1 udah gtu dapet warna ngejreng, gak bangett.. mending jg gw co lipen matte yg sesuai keinginan gw, mana harga nya lbh murah lipennya dibanding misteri b...",negative
saya ga nerima barangnya sih sebenernya karena barang diilangin sama kurir tapi gpp saya kasih bintang 4 aja,positive
produk sampaii namun packaginyaa sangat lama sekali udh repeat order berkali kali tpi tetep lama bgt dalam hal pengemasan huhu,positive
kemasan:rusak kecewa banget.,negative
mksi kk sdh amanah,positive
penjual gk amanah hrusnya 3 cma dapat 2,negative
"di banner terterah belanja tlg 4 - 7 april min rp 40 rb dapat free lipstick, saya belanja tgl 6 april ( pagi ) tapi tdk dapat free lipstick, saya tanya ke admin jawabnya...",negative
performa:oke,positive
